Disease,Medication
Cervical spondylosis,"['Cyclobenzaprine (Muscle Relaxant)', 'Diclofenac (NSAID)', 'Gabapentin (Anticonvulsant)', 'Pregabalin (Neuropathic Agent)', 'Baclofen (Antispasmodic)']"
Paralysis (brain hemorrhage),"['Mannitol (Osmotic Diuretic)', 'Nimodipine (Calcium Channel Blocker)', 'Phenytoin (Anticonvulsant)', 'Enoxaparin (Anticoagulant)']"
Jaundice,"['Ursodeoxycholic Acid (Bile Acid)', 'Vitamin K (Phytonadione)', 'Silymarin (Flavonoid)', 'L-Ornithine L-Aspartate (Hepatoprotective)']"
Malaria,"['Artemether + Lumefantrine (ACT)', 'Chloroquine (Antimalarial)', 'Quinine Sulfate (Cinchona Alkaloid)', 'Primaquine (Aminoquinoline)']"
Chicken pox,"['Acyclovir (Antiviral)', 'Valacyclovir (Antiviral)', 'Calamine (Topical)', 'Paracetamol (Antipyretic)']"
Dengue,"['Paracetamol (Analgesic)', 'ORS (Oral Rehydration)', 'Carica Papaya Leaf Extract (Platelet Booster)']"
Typhoid,"['Ceftriaxone (Cephalosporin)', 'Azithromycin (Macrolide)', 'Ciprofloxacin (Fluoroquinolone)', 'Cefixime (Antibiotic)']"
hepatitis A,"['Vitamin B-Complex', 'Silymarin', 'Hydration Therapy', 'Hepatoprotective Agents']"
Hepatitis B,"['Tenofovir (Antiviral)', 'Entecavir (Nucleoside Analog)', 'Lamivudine (Antiviral)', 'Interferon Alfa-2b']"
Hepatitis C,"['Sofosbuvir (Direct-acting Antiviral)', 'Velpatasvir (NS5A Inhibitor)', 'Ribavirin (Antiviral)', 'Ledipasvir']"
Hepatitis D,"['Pegylated Interferon Alfa-2a', 'Tenofovir (Supporting)']"
Hepatitis E,"['Ribavirin', 'Supportive Liver Care', 'Vitamin Supplements']"
Alcoholic hepatitis,"['Prednisolone (Corticosteroid)', 'Pentoxifylline (Phosphodiesterase Inhibitor)', 'Thiamine (Vitamin B1)']"
Tuberculosis,"['Isoniazid (Antibiotic)', 'Rifampin (Antibiotic)', 'Pyrazinamide (Antibiotic)', 'Ethambutol (Antibiotic)']"
Common Cold,"['Phenylephrine (Decongestant)', 'Chlorpheniramine (Antihistamine)', 'Dextromethorphan (Cough Suppressant)', 'Paracetamol (Analgesic)']"
Pneumonia,"['Amoxicillin-Clavulanate (Antibiotic)', 'Azithromycin (Macrolide)', 'Levofloxacin (Fluoroquinolone)', 'Ceftriaxone (Antibiotic)']"
Dimorphic hemmorhoids(piles),"['Diosmin (Flavonoid)', 'Lidocaine (Topical Anesthetic)', 'Phenylephrine (Topical Decongestant)', 'Psyllium Husk (Fiber)']"
Heart attack,"['Aspirin (Antiplatelet)', 'Clopidogrel (Antiplatelet)', 'Atorvastatin (Statin)', 'Nitroglycerin (Vasodilator)', 'Metoprolol (Beta-blocker)']"
Varicose veins,"['Diosmin + Hesperidin (Flavonoids)', 'Pentoxifylline (Rheologic Agent)', 'Sclerosing agents (Polidocanol)']"
Hypothyroidism,"['Levothyroxine (Thyroid Hormone)', 'Liothyronine (T3 Hormone)']"
Hyperthyroidism,"['Methimazole (Antithyroid)', 'Propylthiouracil (Antithyroid)', 'Propranolol (Beta-blocker)']"
Hypoglycemia,"['Glucagon (Hormone)', 'Dextrose (Glucose)', 'Glucose tablets']"
Osteoarthristis,"['Glucosamine Sulfate', 'Chondroitin', 'Etoricoxib (COX-2 Inhibitor)', 'Hyaluronic Acid Injection']"
Arthritis,"['Methotrexate (DMARD)', 'Hydroxychloroquine (Antimalarial/DMARD)', 'Sulfasalazine (Anti-inflammatory)', 'Adalimumab (Biologic)']"
(vertigo) Paroymsal Positional Vertigo,"['Betahistine (H1 Agonist)', 'Meclizine (Antiemetic)', 'Cinnarizine (Calcium Antagonist)']"
Acne,"['Benzoyl Peroxide (Antiseptic)', 'Adapalene (Retinoid)', 'Clindamycin (Antibiotic)', 'Isotretinoin (Retinoid)', 'Salicylic Acid']"
Urinary tract infection,"['Nitrofurantoin (Antibiotic)', 'Fosfomycin (Antibiotic)', 'Norfloxacin (Fluoroquinolone)', 'Phenazopyridine (Analgesic)']"
Psoriasis,"['Clobetasol (Corticosteroid)', 'Methotrexate (Systemic)', 'Calcipotriene (Vitamin D Analog)', 'Infliximab (Biologic)']"
Impetigo,"['Mupirocin (Topical Antibiotic)', 'Retapamulin (Ointment)', 'Cephalexin (Oral Antibiotic)']"
